Query,Score
Are generic antidepressants recommended over brand-name versions?,0.978469967842102
What are the two phases of MDD treatment according to CANMAT?,0.9997758269309998
What is the main goal of the acute treatment phase in MDD?,0.9957477450370789
Why is achieving symptom remission emphasized in acute MDD treatment?,0.9725520014762878
What should be the focus of treatment for patients with persistent depressive symptoms (DTD)?,0.9965575933456421
What are the potentially modifiable risk factors for suicide in patients with MDD?,0.9127318263053894
What are the components of a suicide safety plan for patients with MDD?,0.9318735003471375
How does patient preference influence MDD treatment?,0.9981474876403809
How should clinicians address treatment costs and access in MDD care planning?,0.9995623230934143
Which lifestyle intervention is considered first-line treatment for mild depression?,0.9912211894989014
Is light therapy recommended for nonseasonal depression?,0.9986050724983215
What dietary recommendation is supported for MDD management?,0.9989066123962402
Are probiotics recommended for depression treatment?,0.9974498152732849
What are the most common static risk factors for major depressive disorder?,0.9824983477592468
"What are some dynamic, potentially modifiable risk factors for major depressive disorder?",0.9893652200698853
Which groups should be prioritized for depression screening?,0.9947951436042786
What depression screening tools are recommended in primary care?,0.9933227896690369
Is a positive depression screening diagnostic of major depressive disorder?,0.9945569038391113
What components are included in a comprehensive diagnostic assessment for MDD?,0.9992095232009888
What medical tests may be useful in the diagnostic workup for MDD?,0.9754054546356201
When should an ECG be considered in patients with MDD?,0.994797945022583
What are examples of DSM-5-TR specifiers for major depressive episodes?,0.9766896963119507
How can access to mental health care be improved for equity-deserving groups?,0.9939342141151428
My patient is interested in lifestyle interventions for a major depressive episode of mild severity that does not have a seasonal pattern. What is the first line recommendation?,0.9921269416809082
"My patient has a major depressive episode with seasonal pattern and would like to try lifestyle interventions first. Other than exercise, what is a first line option for them?",0.9953558444976807
"My patient has a major depressive episode with somatic symptoms of pain, what would be the first choice medication for them?",0.997055172920227
"My patient has a major depressive episode with somatic symptoms of fatigue, what would be the first choice medication for them?",0.990646243095398
My patient with a major depressive episode of mild severity would like to try psychotherapy. What are the first-line options?,0.9960736036300659
My patient with a major depressive episode of mild severity is interested in complementary and alternative medicine options. What would be the most appropriate option to present?,0.996422290802002
"My patient is presenting with a mild severity major depressive episode. All other things being equal and accessible, what does CANMAT recommend for treatment?",0.9982940554618835
My patient's depression has not responded to the medication dose I started them on a four weeks ago.  What should I do next?,0.9717960953712463
"My patient's depression has not responded to the SSRI medication I started them on, even after I optimized and increased the dose up to where they could still tolerate the side effects. I haven't tried anything else yet. What should I do now?",0.9792241454124451
"My patient's depression has not responded to the SSRI medication I started them on, even after I optimized and increased the dose up to where they could still tolerate the side effects. They are not interested in psychotherapy. What should I do now?",0.9724006652832031
"My patient's depression achieved a partial response to the SSRI medication I started them on, but the improvements have been less than hoped. They are not experiencing any side effects from the SSRI. What should I do?",0.9789099097251892
"My patient's severe major depressive episode did not respond to an SSRI, and did not respond to SNRI after switching to it. I tried adding adjunctive pharmacotherapy as well but it did not work. What should I do now?",0.9928745031356812
"I am about to start my patient on an antidepressant, but I am worried about their likelihood to adhere to medications, and they have abruptly stopped in the past. What medications have the highest risk of antidepressant discontinuation syndrome? ",0.9844818115234375
"I am about to start my patient on an antidepressant, but I am worried about their likelihood to adhere to medications, and they have abruptly stopped in the past. What medications available in Canada have the lowest risk of antidepressant discontinuation syndrome? ",0.996911346912384
My patient who I have been treating on antidepressant medication is no longer feeling any of their depressive symptoms. How long should they be on maintenance treatment for?,0.9969295859336853
"My patient has had recurrent depressive episodes, and has now once again had their symptoms relieved by the medications I've prescribed. They want longer-lasting benefits and want help with preventing recurrent episodes in the future. What should can I offer them?",0.9952341914176941
I am about to start my patient on citalopram. Is there any monitoring or investigations I should order for them based on the guidelines?,0.9775365591049194
"My patient with a moderate severity major depressive episode would like to start a first-line SSRI, but wants to minimize their chances of sexual side effects. What is the best option for them?",0.9999737739562988
"My patient with a moderate severity major depressive episode would like to start a first-line SNRI, but wants to minimize their chances of sexual side effects. What is the best option for them?",0.9990853071212769
"My patient with a moderate severity major depressive episode has tried an SSRI, without good effect, and now wants to try an SNRI. Their top priority is efficacy, and they are not concerned about any specific side effects. What's the best option for them?",0.9936143755912781
When were the latest CANMAT depression guidelines released?,0.6813116669654846
What type of patient can this app help me treat?,0.9564060568809509
What evidence are the CANMAT depression guidelines based on?,0.9832804203033447
What evidence are the recommendation in this app based on?,0.9100672006607056
Whar do the levels of evidence correspond to? ,0.9692737460136414
What are r isk factors for depression?,0.9861617088317871
Should a patient on an antidepressant also see a therapist?,0.9768471121788025
I have a patient who often struggles with constipation Would paroxetine be  a good antidepressant to try first?,0.9902791380882263
"My patient wants to use an AI app for thier depression, is this safe? ",0.9872205853462219
How do I know if an antidepressant is working?,0.963260293006897
"When a patient is better, how long should they continue their antidepressant for?",0.9936591982841492
"My patient has not responded to escitalopram at 10 mg, what should I do next? ",0.9833920001983643
I am considering referring my patient to ECT for their depression. Would I need to stop their medications?,0.977226972579956
