embedder,k,accuracy
sentence-transformers/all-mpnet-base-v2,10,0.9
sentence-transformers/all-mpnet-base-v2,11,0.9
sentence-transformers/all-mpnet-base-v2,12,0.95
sentence-transformers/all-mpnet-base-v2,13,0.95
sentence-transformers/all-mpnet-base-v2,14,1.0
sentence-transformers/all-mpnet-base-v2,15,1.0
sentence-transformers/all-mpnet-base-v2,16,1.0
sentence-transformers/all-mpnet-base-v2,17,1.0
sentence-transformers/all-mpnet-base-v2,18,1.0
sentence-transformers/all-mpnet-base-v2,19,1.0
pritamdeka/S-PubMedBert-MS-MARCO,10,0.7
pritamdeka/S-PubMedBert-MS-MARCO,11,0.7
pritamdeka/S-PubMedBert-MS-MARCO,12,0.75
pritamdeka/S-PubMedBert-MS-MARCO,13,0.75
pritamdeka/S-PubMedBert-MS-MARCO,14,0.8
pritamdeka/S-PubMedBert-MS-MARCO,15,0.85
pritamdeka/S-PubMedBert-MS-MARCO,16,0.95
pritamdeka/S-PubMedBert-MS-MARCO,17,1.0
pritamdeka/S-PubMedBert-MS-MARCO,18,1.0
pritamdeka/S-PubMedBert-MS-MARCO,19,1.0
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,10,0.4
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,11,0.45
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,12,0.45
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,13,0.45
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,14,0.45
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,15,0.45
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,16,0.45
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,17,0.45
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,18,0.5
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,19,0.6
